,codigo_municipio,ano,dado_identificador,valor,tipo_dado
2478,1706506,2015,PIB TOTAL,73666000.0,float
2485,1707009,2015,PIB TOTAL,249360000.0,float
2492,1707108,2015,PIB TOTAL,97208000.0,float
2499,1707207,2015,PIB TOTAL,79790000.0,float
2506,1707306,2015,PIB TOTAL,116330000.0,float
2513,1707405,2015,PIB TOTAL,74414000.0,float
2520,1707553,2015,PIB TOTAL,60454000.0,float
2527,1707652,2015,PIB TOTAL,137387000.0,float
2534,1707702,2015,PIB TOTAL,87910000.0,float
2541,1708205,2015,PIB TOTAL,357367000.0,float
2548,1708254,2015,PIB TOTAL,137466000.0,float
2555,1708304,2015,PIB TOTAL,55482000.0,float
2562,1709005,2015,PIB TOTAL,134107000.0,float
2569,1709302,2015,PIB TOTAL,574531000.0,float
2576,1709500,2015,PIB TOTAL,1842379000.0,float
2583,1709807,2015,PIB TOTAL,30311000.0,float
2590,1710508,2015,PIB TOTAL,78678000.0,float
2597,1710706,2015,PIB TOTAL,50622000.0,float
2604,1710904,2015,PIB TOTAL,55777000.0,float
2611,1711100,2015,PIB TOTAL,38491000.0,float
2618,1711506,2015,PIB TOTAL,47108000.0,float
2625,1711803,2015,PIB TOTAL,29238000.0,float
2632,1711902,2015,PIB TOTAL,454390000.0,float
2639,1711951,2015,PIB TOTAL,33124000.0,float
2646,1712009,2015,PIB TOTAL,54901000.0,float
2653,1712157,2015,PIB TOTAL,19121000.0,float
2660,1712405,2015,PIB TOTAL,30967000.0,float
2667,1712454,2015,PIB TOTAL,32511000.0,float
2674,1712504,2015,PIB TOTAL,82552000.0,float
2681,1712702,2015,PIB TOTAL,103507000.0,float
2688,1712801,2015,PIB TOTAL,28407000.0,float
2695,1713205,2015,PIB TOTAL,503060000.0,float
2702,1713304,2015,PIB TOTAL,203125000.0,float
2709,1713601,2015,PIB TOTAL,118830000.0,float
2716,1713700,2015,PIB TOTAL,30087000.0,float
2723,1713809,2015,PIB TOTAL,58073000.0,float
2730,1713957,2015,PIB TOTAL,38245000.0,float
2737,1714203,2015,PIB TOTAL,121955000.0,float
2744,1714302,2015,PIB TOTAL,43100000.0,float
2751,1714880,2015,PIB TOTAL,253617000.0,float
2758,1715002,2015,PIB TOTAL,40683000.0,float
2765,1715101,2015,PIB TOTAL,40814000.0,float
2772,1715150,2015,PIB TOTAL,23634000.0,float
2779,1715259,2015,PIB TOTAL,26534000.0,float
2786,1715507,2015,PIB TOTAL,18408000.0,float
2793,1715705,2015,PIB TOTAL,74792000.0,float
2800,1715754,2015,PIB TOTAL,104183000.0,float
2807,1716109,2015,PIB TOTAL,1011003000.0,float
2814,1716208,2015,PIB TOTAL,195055000.0,float
2821,1716307,2015,PIB TOTAL,55419000.0,float
2828,1716505,2015,PIB TOTAL,586469000.0,float
2835,1716604,2015,PIB TOTAL,545343000.0,float
2842,1716653,2015,PIB TOTAL,70727000.0,float
2849,1716703,2015,PIB TOTAL,109809000.0,float
2856,1717008,2015,PIB TOTAL,44280000.0,float
2863,1717206,2015,PIB TOTAL,46092000.0,float
2870,1717503,2015,PIB TOTAL,115757000.0,float
2877,1717800,2015,PIB TOTAL,40987000.0,float
2884,1717909,2015,PIB TOTAL,68534000.0,float
2891,1718006,2015,PIB TOTAL,27128000.0,float
2898,1718204,2015,PIB TOTAL,1372034000.0,float
2905,1718303,2015,PIB TOTAL,59264000.0,float
2912,1718402,2015,PIB TOTAL,45711000.0,float
2919,1718451,2015,PIB TOTAL,44426000.0,float
2926,1718501,2015,PIB TOTAL,38136000.0,float
2933,1718550,2015,PIB TOTAL,40528000.0,float
2940,1718659,2015,PIB TOTAL,16807000.0,float
2947,1718709,2015,PIB TOTAL,37085000.0,float
2954,1718758,2015,PIB TOTAL,53285000.0,float
2961,1718808,2015,PIB TOTAL,31457000.0,float
2968,1718840,2015,PIB TOTAL,60076000.0,float
2975,1718865,2015,PIB TOTAL,91519000.0,float
2982,1718881,2015,PIB TOTAL,45500000.0,float
2989,1718899,2015,PIB TOTAL,46003000.0,float
2996,1718907,2015,PIB TOTAL,109430000.0,float
3003,1719004,2015,PIB TOTAL,24716000.0,float
3010,1720002,2015,PIB TOTAL,26833000.0,float
3017,1720101,2015,PIB TOTAL,43047000.0,float
3024,1720150,2015,PIB TOTAL,15009000.0,float
3031,1720200,2015,PIB TOTAL,81610000.0,float
3038,1720259,2015,PIB TOTAL,28872000.0,float
3045,1720309,2015,PIB TOTAL,37170000.0,float
3052,1720499,2015,PIB TOTAL,89407000.0,float
3059,1720655,2015,PIB TOTAL,114823000.0,float
3066,1720804,2015,PIB TOTAL,74661000.0,float
3073,1720853,2015,PIB TOTAL,54742000.0,float
3080,1720903,2015,PIB TOTAL,265931000.0,float
3087,1720937,2015,PIB TOTAL,20313000.0,float
3094,1720978,2015,PIB TOTAL,66286000.0,float
3101,1721000,2015,PIB TOTAL,7394463000.0,float
3108,1721109,2015,PIB TOTAL,58998000.0,float
3115,1721208,2015,PIB TOTAL,242602000.0,float
3122,1721257,2015,PIB TOTAL,47485000.0,float
3129,1721307,2015,PIB TOTAL,24533000.0,float
3136,1722081,2015,PIB TOTAL,138573000.0,float
3143,1722107,2015,PIB TOTAL,313481000.0,float
3150,2100055,2015,PIB TOTAL,2015260000.0,float
3157,2100105,2015,PIB TOTAL,36080000.0,float
3164,2100154,2015,PIB TOTAL,64838000.0,float
3171,2100204,2015,PIB TOTAL,104435000.0,float
3178,2100303,2015,PIB TOTAL,208642000.0,float
3185,2100402,2015,PIB TOTAL,60097000.0,float
3192,2100436,2015,PIB TOTAL,202298000.0,float
3199,2100477,2015,PIB TOTAL,145518000.0,float
3206,2100501,2015,PIB TOTAL,310911000.0,float
3213,2100550,2015,PIB TOTAL,39113000.0,float
3220,2100600,2015,PIB TOTAL,251507000.0,float
3227,2100709,2015,PIB TOTAL,149010000.0,float
3234,2100808,2015,PIB TOTAL,109529000.0,float
3241,2100832,2015,PIB TOTAL,90648000.0,float
3248,2100873,2015,PIB TOTAL,64860000.0,float
3255,2100907,2015,PIB TOTAL,234546000.0,float
3262,2100956,2015,PIB TOTAL,180057000.0,float
3269,2101004,2015,PIB TOTAL,210033000.0,float
3276,2101103,2015,PIB TOTAL,61582000.0,float
3283,2101202,2015,PIB TOTAL,1017126000.0,float
3290,2101251,2015,PIB TOTAL,281332000.0,float
3297,2101301,2015,PIB TOTAL,84818000.0,float
3304,2101350,2015,PIB TOTAL,28661000.0,float
3311,2101400,2015,PIB TOTAL,2627847000.0,float
3318,2101509,2015,PIB TOTAL,190307000.0,float
3325,2101608,2015,PIB TOTAL,551109000.0,float
3332,2101707,2015,PIB TOTAL,389696000.0,float
3339,2101731,2015,PIB TOTAL,35840000.0,float
3346,2101772,2015,PIB TOTAL,59913000.0,float
3353,2101806,2015,PIB TOTAL,34438000.0,float
3360,2101905,2015,PIB TOTAL,98839000.0,float
3367,2101939,2015,PIB TOTAL,45301000.0,float
3374,2101970,2015,PIB TOTAL,55211000.0,float
3381,2102002,2015,PIB TOTAL,244297000.0,float
3388,2102036,2015,PIB TOTAL,234594000.0,float
3395,2102077,2015,PIB TOTAL,79867000.0,float
3402,2102101,2015,PIB TOTAL,221320000.0,float
3409,2102150,2015,PIB TOTAL,52915000.0,float
3416,2102200,2015,PIB TOTAL,153571000.0,float
3423,2102309,2015,PIB TOTAL,130033000.0,float
3430,2102325,2015,PIB TOTAL,473539000.0,float
3437,2102358,2015,PIB TOTAL,75849000.0,float
3444,2102374,2015,PIB TOTAL,49531000.0,float
3451,2102408,2015,PIB TOTAL,43933000.0,float
3458,2102507,2015,PIB TOTAL,89360000.0,float
3465,2102556,2015,PIB TOTAL,133814000.0,float
3472,2102606,2015,PIB TOTAL,103628000.0,float
3479,2102705,2015,PIB TOTAL,109901000.0,float
3486,2102754,2015,PIB TOTAL,82744000.0,float
3493,2102804,2015,PIB TOTAL,285178000.0,float
3500,2102903,2015,PIB TOTAL,144879000.0,float
3507,2103000,2015,PIB TOTAL,1451640000.0,float
3514,2103109,2015,PIB TOTAL,54388000.0,float
3521,2103125,2015,PIB TOTAL,36429000.0,float
3528,2103158,2015,PIB TOTAL,62216000.0,float
3535,2103174,2015,PIB TOTAL,117381000.0,float
3542,2103208,2015,PIB TOTAL,551380000.0,float
3549,2103257,2015,PIB TOTAL,129559000.0,float
3556,2103307,2015,PIB TOTAL,880433000.0,float
3563,2103406,2015,PIB TOTAL,350541000.0,float
3570,2103505,2015,PIB TOTAL,304072000.0,float
3577,2103554,2015,PIB TOTAL,95176000.0,float
3584,2103604,2015,PIB TOTAL,354079000.0,float
3591,2103703,2015,PIB TOTAL,183721000.0,float
3598,2103752,2015,PIB TOTAL,418091000.0,float
3605,2103802,2015,PIB TOTAL,206382000.0,float
